# Experimental Run Fri Oct 19 14:09:37 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"18308.0","15","4884"
"16850.0","19","5901"
"20096.0","9","2592"
"19373.0","14","4750"
"17371.0","22","7433"
"22508.0","5","1313"
"17702.0","20","6919"
"19574.0","17","5146"
"19130.0","11","3866"
"21661.0","5","1818"
"17456.0","22","6920"
"16427.0","29","9487"
"19825.0","14","4976"
"17946.0","22","7171"
"16825.0","28","10234"
"20209.0","13","3349"
"18656.0","19","6452"
"19394.0","12","3630"
"18470.0","21","6715"
"18237.0","16","5390"
"18516.0","17","5392"
"20834.0","10","2591"
"18811.0","12","3913"
"18375.0","14","4629"
"18398.0","22","6940"
"18689.0","12","3858"
"18147.0","21","6916"
"17127.0","30","9475"
"19421.0","15","4647"
"19060.0","14","4378"
